Fold,Iteration,Val_RMSE
1,0,11.006715963958326
1,1,10.903697717951292
1,2,10.761144982901046
1,3,10.629570633589596
1,4,10.504231023484556
1,5,10.384139847180007
1,6,10.318703475379497
1,7,10.243328766600374
1,8,10.129704493970255
1,9,10.057802237281901
1,10,10.000069873893015
1,11,9.914390076895138
1,12,9.81808438652667
1,13,9.7217718358351
1,14,9.629806885092774
1,15,9.579719550488992
1,16,9.495366859596887
1,17,9.408054166200433
1,18,9.339055558851017
1,19,9.315139931708293
1,20,9.228280463854496
1,21,9.152354432103888
1,22,9.100302647286652
1,23,9.024845506963775
1,24,8.96755920787411
1,25,8.934327068820734
1,26,8.861336148222835
1,27,8.797752300713771
1,28,8.74157519616714
1,29,8.66666797173816
1,30,8.62025841649234
1,31,8.563168368314738
1,32,8.50667520894939
1,33,8.461775193702607
1,34,8.412219284289424
1,35,8.374187015846244
1,36,8.336048059983128
1,37,8.321312686146104
1,38,8.274272373602567
1,39,8.252404960146047
1,40,8.224991385225232
1,41,8.201626948383607
1,42,8.171045847103153
1,43,8.138153911078073
1,44,8.112593274338778
1,45,8.074068524210597
1,46,8.063461023245058
1,47,8.032008778525608
1,48,8.0277441698306
1,49,8.006392158790291
1,50,7.975240164798026
1,51,7.975168980693077
1,52,7.951011573979117
1,53,7.932082952099117
1,54,7.916416872838635
1,55,7.9096211296834715
1,56,7.900260189168523
1,57,7.877602929717901
1,58,7.851647156384806
1,59,7.830135950889361
1,60,7.80635240197844
1,61,7.7934893275268715
1,62,7.771942924396476
1,63,7.7575782280771035
1,64,7.761379790339505
1,65,7.7420134276023855
1,66,7.736805078840268
1,67,7.739068002099184
1,68,7.720360551285394
1,69,7.6995732902229355
1,70,7.681860347529421
1,71,7.666736559162723
1,72,7.645110133014168
1,73,7.645396237098296
1,74,7.635383935015044
1,75,7.620065482905236
1,76,7.614223468415157
1,77,7.607338866135241
1,78,7.603448345185358
1,79,7.613428756504014
1,80,7.614151439552516
1,81,7.610182505673639
1,82,7.612554008057971
1,83,7.612733703391066
1,84,7.613826589138934
1,85,7.608691027522309
1,86,7.594791819500476
1,87,7.581704827087402
1,88,7.574727378529904
1,89,7.572237472865123
1,90,7.582442982760152
1,91,7.569358751605107
1,92,7.557723849163385
1,93,7.563031490229926
1,94,7.56016368498979
1,95,7.565729467492957
1,96,7.5592227180353415
1,97,7.5573386180850175
1,98,7.542773409012649
1,99,7.536017224427176
1,100,7.529150379529141
1,101,7.5213517795361895
1,102,7.522044013617239
1,103,7.523584698180483
1,104,7.519640406652178
1,105,7.509036776552726
1,106,7.504083844150139
1,107,7.499404758735482
1,108,7.494800283499255
1,109,7.49746816773648
1,110,7.486414385297746
1,111,7.487524414487587
1,112,7.485286923562323
1,113,7.4855504854648
1,114,7.486474916797679
1,115,7.495716684309827
1,116,7.491228612373566
1,117,7.488330226758254
1,118,7.494644346984904
1,119,7.490919499719143
1,120,7.496659109266201
1,121,7.496418103664626
1,122,7.491190088404861
1,123,7.4873326775750195
1,124,7.49489034642048
1,125,7.499218839889524
1,126,7.494803044816346
1,127,7.496688940392847
1,128,7.496592068029607
1,129,7.492604575173821
